pmid,subject,relation,object,found,relation_term_matched,distance_chars,snippet
PMC5415117,Formicidae,symbiontOf,Agaricaceae,True,True,2,"Atta and Acromyrmex genera of ants are the most serious agricultural pest of tropical and subtropical America, causing enormous economic damage to the neotropic agricultural industry ( Wirth et al., 2003 ). The possibility of controlling leaf-cutting ants with biological methods has generated great interest in diverse studies involving the fungi cultivated by ants. Ants of the Attini tribe live in obligate symbiosis with a basidiomycete fungus of the Agaricaceae family which is the essential food source for the larvae and queen ( Currie, 2001 , Fisher et al., 1994 , Lange and Grell, 2014 , Miyashira et al., 2010 )."
PMC5415117,Acromyrmex,symbiontOf,Leucoagaricus,True,True,2,"In some studies, genetic markers such as ribosomal gene (rDNA), internal transcribed spacer (ITS), and part of elongation factor 1-α gene (EF 1-α), have been used for the molecular characterization and phylogenetic studies of fungal symbionts of ants ( Chapela et al., 1994 , Lugo et al., 2013 , Ortiz et al., 2008 , Silva et al., 2004 ). In Argentina there is only one initial molecular study of the Leucoagaricus fungus ( Lugo et al., 2013 ). These authors isolated and identified both, morphologically and genetically the fungi cultured by two populations of Acromyrmex lobicornis from the center of Argentina."
PMC5415117,Acromyrmex,symbiontOf,Leucoagaricus gongylophorus,True,True,2,"These structures were recognized in the isolated fungus in our study. Miyashira et al., 2010 , Lugo et al., 2013 completed the morphologic identification of the symbiont fungus of Atta and Acromyrmex leaf-cutting ants using macro- and microscopic characters. In our study, the morphologic identification of the fungus symbiont isolate from one A. pubescens nest was consistent with current taxonomic identification of L. gongylophorus ."
PMC5651009,Ophiocordyceps kniphofioides,pathogenOf,Dinoponera longipes,True,True,2,"Cordyceps fungi are characterized by being host specialized parasites. For example, the zombie ant fungus Ophiocordyceps unilateralis is an antagonist of ants in the tribe Camponotini (Formicinae, Formicidae), with less common infections reported on Polyrhachis ants ( Pontoppidan et al., 2009 ; Andersen et al., 2012 ). Similarly, Ophiocordyceps kniphofioides infects Cephalotes atratus (Formicidae: Myrmicinae), Paraponera clavata , and Dinoponera longipes (Formicidae: Ponerinae) ants ( Evans and Samson, 1982 ;"
PMC5651009,Ophiocordyceps,pathogenOf,Cephalotes,True,True,2,"Cordyceps fungi are characterized by being host specialized parasites. For example, the zombie ant fungus Ophiocordyceps unilateralis is an antagonist of ants in the tribe Camponotini (Formicinae, Formicidae), with less common infections reported on Polyrhachis ants ( Pontoppidan et al., 2009 ; Andersen et al., 2012 ). Similarly, Ophiocordyceps kniphofioides infects Cephalotes atratus (Formicidae: Myrmicinae), Paraponera clavata , and Dinoponera longipes (Formicidae: Ponerinae) ants ( Evans and Samson, 1982 ;"
PMC5651009,Streptomycetaceae,interactsWith,Formicidae,True,True,2,"Similarly, Ophiocordyceps kniphofioides infects Cephalotes atratus (Formicidae: Myrmicinae), Paraponera clavata , and Dinoponera longipes (Formicidae: Ponerinae) ants ( Evans and Samson, 1982 ; Sanjuan et al., 2015 ). In this study, it has been shown that different strains of Streptomyces isolated from P. clavata ants could inhibit the ant’s parasitic fungus O. kniphofioides ( Figure 10 )."
PMC5651009,Ophiocordyceps,pathogenOf,Dinoponera,True,True,2,"Cordyceps fungi are characterized by being host specialized parasites. For example, the zombie ant fungus Ophiocordyceps unilateralis is an antagonist of ants in the tribe Camponotini (Formicinae, Formicidae), with less common infections reported on Polyrhachis ants ( Pontoppidan et al., 2009 ; Andersen et al., 2012 ). Similarly, Ophiocordyceps kniphofioides infects Cephalotes atratus (Formicidae: Myrmicinae), Paraponera clavata , and Dinoponera longipes (Formicidae: Ponerinae) ants ( Evans and Samson, 1982 ;"
PMC5651009,Ophiocordyceps,pathogenOf,Paraponera,True,True,2,"Posterior probability (PP) at the corresponding nodes. The tree was rooted on Candida albicans. PCFB and BA18, two fungal strains isolated from P. clavata ants were classified by macro and micromorphology as well as ITS, SSU and E-1α sequences, within the Ophiocodycipitaceae family where all Cordyceps fungi infecting ants are grouped."
PMC5651009,Ophiocordyceps unilateralis,pathogenOf,Camponotini,True,True,2,"All of the insect species examined (those from which entomopathogenic fungi were isolated) had more than three different associated Actinobacteria strains that were capable of producing zones of inhibition in co-culture in vitro bioassays ( Figure 9 ). Cordyceps fungi are characterized by being host specialized parasites. For example, the zombie ant fungus Ophiocordyceps unilateralis is an antagonist of ants in the tribe Camponotini (Formicinae, Formicidae), with less common infections reported on Polyrhachis ants ( Pontoppidan et al., 2009 ; Andersen et al., 2012 )."
PMC5651009,Streptomyces,interactsWith,Paratrechina longicornis,True,True,2,"Consequently, we obtained 12 actinomycete isolates from the internal colony components of a related stingless bee, T. angustula. Streptomyces was the predominant genus of culturable Actinobacteria associated with insect colonies in the present study. These results are consistent with similar studies employing culture-dependent isolation approaches in Apis and Trigona bees ( Promnuan et al., 2009 ), Dendroctonus beetles ( Hulcr et al., 2011 ), Polistes dominulus wasps ( Madden et al., 2013 ) and Pseudomyrmex penetrator , Petalomyrmex phylax , and Crematogaster margaritae ants as well as culture-independent techniques, as the case for P. longicornis ( Reyes and Cafaro, 2014 )."
PMC5651009,Streptomyces,interactsWith,Pseudomyrmex penetrator,True,True,2,"Consequently, we obtained 12 actinomycete isolates from the internal colony components of a related stingless bee, T. angustula. Streptomyces was the predominant genus of culturable Actinobacteria associated with insect colonies in the present study. These results are consistent with similar studies employing culture-dependent isolation approaches in Apis and Trigona bees ( Promnuan et al., 2009 ), Dendroctonus beetles ( Hulcr et al., 2011 ), Polistes dominulus wasps ( Madden et al., 2013 ) and Pseudomyrmex penetrator , Petalomyrmex phylax , and Crematogaster margaritae ants as well as culture-independent techniques, as the case for P. longicornis ( Reyes and Cafaro, 2014 )."
PMC5651009,Streptomyces,interactsWith,Pseudomyrmex,True,True,2,"Consequently, we obtained 12 actinomycete isolates from the internal colony components of a related stingless bee, T. angustula. Streptomyces was the predominant genus of culturable Actinobacteria associated with insect colonies in the present study. These results are consistent with similar studies employing culture-dependent isolation approaches in Apis and Trigona bees ( Promnuan et al., 2009 ), Dendroctonus beetles ( Hulcr et al., 2011 ), Polistes dominulus wasps ( Madden et al., 2013 ) and Pseudomyrmex penetrator , Petalomyrmex phylax , and Crematogaster margaritae ants as well as culture-independent techniques, as the case for P. longicornis ( Reyes and Cafaro, 2014 )."
