source_taxon_name,interaction_type,target_taxon_name,study_citation,study_url,study_source_archive_uri,categoria
Danaus plexippus,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/7324399,https://www.inaturalist.org/observations/7324399,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Scarabaeidae,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/95660945,https://www.inaturalist.org/observations/95660945,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Orthoptera,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/4193789,https://www.inaturalist.org/observations/4193789,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Lepidoptera,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/272495996,https://www.inaturalist.org/observations/272495996,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Noctuoidea,preyedUponBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/268973844,https://www.inaturalist.org/observations/268973844,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Musca domestica,eatenBy,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/177437551,https://www.inaturalist.org/observations/177437551,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Camponotus pennsylvanicus,interactsWith,Camponotus pennsylvanicus,https://www.inaturalist.org/observations/88951349,https://www.inaturalist.org/observations/88951349,https://github.com/globalbioticinteractions/inaturalist/archive/b19ef1c1934c31e033fe4f1a81259fc257e55013.zip,Observação de ocorrência
Formicidae,interactsWith,Atta sexdens,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Atta sexdens,interactsWith,Atta sexdens,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Polyergus,interactsWith,Formica,UCSB-IZC00026316 https://ecdysis.org/collections/individual/index.php?occid=845573,https://ecdysis.org/collections/individual/index.php?occid=845573,https://github.com/globalbioticinteractions/ucsb-izc/archive/bf93d613007b96be7e3b0558c8a003092bd67bde.zip,Observação de ocorrência
Lycaeides melissa,interactsWith,Formica,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
