source_taxon_name,interaction_type,target_taxon_name,study_citation,study_url,study_source_archive_uri
Burenella dimorpha,pathogenOf,Solenopsis xyloni,"Jouvenaz, D.P., and Lofgren, C.S., 1984. Host specificity of Burenella dimorpha (Microspora: Microsporida). J. Invertebr. Pathol. 43: 441-442.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Metarhizium anisopliae,pathogenOf,Solenopsis richteri,"Steinhaus, E.A.; and Marsh, G.A. 1967. Previously unreported accessions for diagnosis and new records. Journal of Invertebrate Pathology 9(3):436-438",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Burenella dimorpha,pathogenOf,Solenopsis richteri,"Jouvenaz, D.P., and Lofgren, C.S., 1984. Host specificity of Burenella dimorpha (Microspora: Microsporida). J. Invertebr. Pathol. 43: 441-442.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Burenella dimorpha,pathogenOf,Solenopsis geminata,"Sprague, V., Becnel, J. J., and Hazard, E. I., 1992. Taxonomy of phylum Microspora. Critical Reviews in Microbiology. 18(5/6): 285-395. CRC Press, Inc.; Jouvenaz, D.P., Ellis, E.A., and Lonfgren, C.S., 1984. Histopathology of the tropical fire ant, Solenopsis geminata, infected with Burunella dimorpha (Microspora: Microsporida). J. Invertebr. Pathol. 43: 324-332.; Jouvenaz, D. P., and Hazard, E. I., 1978. New family, genus, and species of Microsporida (Protozoa: Microsporida) from the tropical fire ant, Solenopsis geminata (Fabricius) (Insecta: Formicidae). J. Protozool. 25: 24-29.; Jouvenaz, D. P. and Hazard, E. I., 1978. New family, Genus, and species of Microsporida (Protozoa: Microsporida) from the tropical fire ant, Solenopsis geminata (Fabricius) ( Insecta: Formicidae). J. Protozool. 25: 24-29.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Leucoagaricus gongylophorus,hasHost,Atta laevigata,http://www.ncbi.nlm.nih.gov/nuccore/3851011,http://www.ncbi.nlm.nih.gov/nuccore/3851011,https://zenodo.org/records/258189/files/millerse/Wardeh-et-al.-2015-v1.0.zip
Curvularia geniculata,pathogenOf,Atta laevigata,https://pmc.ncbi.nlm.nih.gov/articles/PMC8151820,https://pmc.ncbi.nlm.nih.gov/articles/PMC8151820,https://github.com/fkeck/gpt_interactions/archive/8eb44867f49875c46ceaebc3a6cd8dfb8bf68ef6.zip
Myrmicinosporidium durum,pathogenOf,Solenopsis fugax,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Myrmicinosporidium durum,pathogenOf,Plagiolepis pygmaea,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Myrmicinosporidium durum,pathogenOf,Leptothorax unifasciatus,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
Myrmicinosporidium durum,pathogenOf,Plagiolepis vindobonensis,"Sanchez-Pena, S.R., Buschinger, A., Humber, R.A., 1993. Myrmicinosporidium durum, an enigmatic fungal parasite of ants. J. Invert. Pathol. 61: 90-96.",,https://zenodo.org/records/258220/files/millerse/Ecological-Database-of-the-World-s-Insect-Pathogens-v1.0.zip
