pair
"Ophiocordyceps camponoti-hippocrepidis , pathogenOf , Formicidae"
"Streptomyces , interactsWith , Petalomyrmex"
"Streptomyces , interactsWith , Paratrechina"
"Streptomyces , interactsWith , Petalomyrmex phylax"
"Formicidae , interactsWith , Ophiocordycipitaceae"
"Acromyrmex , eats , Deconica coprophila"
"Formicidae , eats , Strophariaceae"
"Ophiocordycipitaceae , kills , Formicidae"
"Ophiocordyceps myrmecophila , hasHost , Formica rufa"
"Ophiocordyceps unilateralis , parasiteOf , Formicidae"
"Wasmannia auropunctata , hasHost , Coccoidea"
"Pandora , parasiteOf , Camponotus angusticollis"
"Oecophylla smaragdina , interactsWith , Coccoidea"
"Pseudomonas aeruginosa , hasHost , Solenopsis invicta"
"Hirsutella stilbelliformis , hasHost , Acromyrmex octospinosus"
"Asaia bogorensis , hasHost , Tetraponera rufonigra"
"Escovopsioides , hasHost , Formicidae"
"Escovopsis , hasHost , Formicidae"
"Agaricales , hasHost , Apterostigma"
"Pogonomyrmex subnitidus , interactsWith , Ant"
"Ophiocordyceps myrmecophila , adjacentTo , Formicidae"
"Ophiocordyceps unilateralis , hasHost , Camponotus castaneus"
"Laboulbenia , hasHost , Formica pallidefulva"
"Ophiocordyceps lloydii , hasHost , Camponotus"
"Isaria , hasHost , Camponotus"
"Alternaria alternata , pathogenOf , Pogonomyrmex rugosus"
"Beauveria bassiana , pathogenOf , Solenopsis quinquecuspis"
"Conidiobolus , pathogenOf , Solenopsis invicta"
"Isaria farinosa , pathogenOf , Anoplolepis gracilipes"
"Beauveria bassiana , pathogenOf , Solenopsis invicta"
"Beauveria bassiana , pathogenOf , Atta mexicana"
"Staphylococcus hominis , hasHost , Solenopsis invicta"
"Formicidae , interactsWith , Hyphomicrobiales"
"Laboulbenia , pathogenOf , Lasius"
"Ophiocordyceps unilateralis , pathogenOf , Atta cephalotes"
"Burkholderiaceae , interactsWith , Cephalotes"
"Ophiocordyceps oecophyllae , pathogenOf , Formicidae"
"Ophiocordyceps kniphofioides , pathogenOf , Daceton armigerum"
"Klebsiella variicola , interactsWith , Formicidae"
"Enterobacteriaceae , interactsWith , Formicidae"
"Escovopsioides , pathogenOf , Attini"
"Tetraponera , hasHost , Bacteria"
"Ophiocordyceps camponoti-rufipedis , pathogenOf , Camponotus rufipes"
"Streptococcaceae , interactsWith , Formicidae"
"Ophiocordyceps myrmecophila , hasHost , Polyrhachis"
"Pheidole noda , interactsWith , Calvatia"
"Irpex latemarginatus , interactsWith , Camponotus"
"Aphaenogaster tennesseensis , hasHost , Cerioporus squamosus"
"Camponotus subbarbatus , visits , Agaricales"
"Prenolepis imparis , symbiontOf , Coccoidea"
"Formica francoeuri , interactsWith , Coccoidea"
"Ophiocordyceps unilateralis , parasiteOf , Polyrhachis exercita"
"Leucoagaricus , hasHost , Trachymyrmex septentrionalis"
"Atta texana , hasHost , Agaricus"
"Ophiocordyceps unilateralis , interactsWith , Camponotus"
