pmid,title,doi,section,ant_hits,microbe_hits,interaction_hits,score,snippet
33572807,Biological Control of a Phytosanitary Pest (Thaumatotibia leucotreta): A Case Study,10.3390/ijerph18031198,FULL_TEXT,9,14,36,54,"However, in attract-and-kill, semiochemicals are used in combination with insecticides (most often), sterilants, or insect pathogens [ 50 ]. The insect responding to the semiochemical lure will encounter the insecticide or sterilizing agent, which effectively eliminates it from the population after a short time [ 51 ]. Currently, only one product based on the attract-and-kill technology is commercially available for management of T. leucotreta . The product, under the name Last Call FCM (Insect Science, Tzaneen, South Africa), consists of a blend of synthesized female sex pheromone and a pyrethroid, in the form of a gel. The combination attracts and kills male moths [ 46 ]. As with mating disruption, the technique is density-dependent, but it does not appear to be as effective as the currently available mating disruption products. Attract-and-kill technology should, therefore, not be used as the sole control method, unless the FCM population is at a low level [ 46 ].  5. PARASITOIDS  Thaumatotibia leucotreta has a range of natural enemies that suppress it in the field [ 14 ]. The most effective biological control agent against T. leucotreta is the egg parasitoid, Trichogrammatoidea cryptophlebiae Nagaraja (Hymenoptera: Trichogrammatidae) [ 52 , 53 ]. Where undisrupted, parasitism from naturally occurring T. cryptophlebiae reached between 80% and 100%, causing from a 67% reduction in T. leucotreta infestation in Navel oranges from December to harvest to total elimination of detectable T. leucotreta infestation by harvest [ 46 ]. However, due to a number of abiotic factors, the effectiveness of T. cryptophlebiae in controlling T. leucotreta can be variable [ 54 ]. Additionally, it is highly sensitive to chemical pesticides, and injudicious selection of treatments for other pests may effectively reduce the parasitoid to negligible levels [ 46 , 55 ]. Initial studies on the effectiveness of T. cryptophlebiae augmentation were conducted during the 1970s and 1980s [ 56 , 57 , 58 ]. Schwartz [ 57 ] demonstrated up to a 75% reduction in T. leucotreta larval infestation of fruit, by releasing more than 862,000 parasitoids per hectare over a 3-month period. Newton and Odendaal [ 59 ] released 1.5–3.8 million parasitoids per hectare, divided into weekly releases. Results were variable, but larval populations were reduced by up to 61%. However, such high density and frequent releases as used in both of these studies are likely to be impractical and expensive if conducted on a commercial scale. Admittedly, Newton [ 58 ] and Newton and Odendaal [ 59 ] referred to their strategy as inundative. More recently, it was shown that a more practical and affordable inoculative release approach can be effective [ 49 ]. As few as 100,000 parasitoids released per hectare (25,000 parasitoids per month for four consecutive months) reduced T. leucotreta infestation by up to 60% [ 49 ]. Imperative to achieving this level of success is the early initiation of releases. Releases initiated in October (spring) resulted in a greater reduction in T. leucotreta infestation than those initiated during November and December [ 60 ]. Historically, commercial mass rearing and augmentation of T. cryptophlebiae have been conducted by Cederberg Insectary in Citrusdal in the Western Cape Province [ 61 ] and at Zebediela Estate in Limpopo Province [ 62 , 63 ]. Currently, there is only one commercial insectary doing this: Vital Bugs in Limpopo Province. Consequently, augmentation of T. cryptophlebiae can only be conducted over a fairly limited area; thus, conservation of the naturally occurring population remains an attractive, practical, and universally available option. If parasitoids are available for augmentation, release is easily conducted by growers in the form of parasitized eggs placed at various well-spaced intervals throughout orchards, on a monthly basis for 4 months; thus, it is not an onerous process. However, if this cannot be initiated early in the season (spring or early summer), possibly due to the detrimental impact of chemical sprays applied against other pests, then augmentation should not be considered a viable option. Several other parasitoids of T. leucotreta have been recorded, as listed by Newton [ 62 ] and Moore [ 53 ]. Probably the most effective of these is the larval parasitoid, Agathis bishopi (Nixon) [ 64 , 65 , 66 ]. However, no mass rearing or augmentation programme exists for this or any of the other species. Consequently, the only benefit that can be derived from them is through conservation, by following a biointensive integrated pest management (IPM) approach.  6. PREDATORS  Ants are considered as important pests in citrus trees."
33897646,Gut Structure and Microbial Communities in Sirex noctilio (Hymenoptera: Siricidae) and Their Predicted Contribution to Larval Nutrition,10.3389/fmicb.2021.641141,INTRODUCTION,2,13,5,9,"For example, some ant species have several specialized gut bacteria and associated morphological modifications of the gut ( Caetano et al., 2009 ; Russell et al., 2009 ). In different ant genera, herbivory is strongly correlated with the prevalence of Rhizobiales as gut symbionts ( Russell et al., 2009 )."
33897646,Gut Structure and Microbial Communities in Sirex noctilio (Hymenoptera: Siricidae) and Their Predicted Contribution to Larval Nutrition,10.3389/fmicb.2021.641141,DISCUSSION,0,60,5,5,"Bignell (1981) also report the digestion of cellulose and hemicellulose in the crop of cockroaches using enzymes from the midgut, which was colonized by bacteria."
34067085,Black Fungi and Hydrocarbons: An Environmental Survey for Alkylbenzene Assimilation,10.3390/microorganisms9051008,FULL_TEXT,66,173,133,265,"Ant domatia-associated fungal species present smaller genomes than other related species in the Chaetothyriales, which might occur due to the specialized symbiosis with the insects [ 47 ]."
34141201,Disease management in two sympatric Apterostigma fungus‐growing ants for controlling the parasitic fungus Escovopsis,10.1002/ece3.7379,DISCUSSION,55,109,74,184,"This is consistent with the hypothesis that both the ants and their mutualistic fungi are under selection to maintain defenses that suppress the parasites that infect them in nature, and it is also consistent with previous work indicating that both ant genotype and cultivar lineage influence the out"
34141201,Disease management in two sympatric Apterostigma fungus‐growing ants for controlling the parasitic fungus Escovopsis,10.1002/ece3.7379,MATERIALS AND METHODS,12,64,23,47,"Both ant species cultivate their fungi on decomposing vegetation, insect detritus and frass (Fernández‐Marín et al., 2004 ; González et al., 2016 )."
34194409,Host Susceptibility Modulates Escovopsis Pathogenic Potential in the Fungiculture of Higher Attine Ants,10.3389/fmicb.2021.673444,DISCUSSION,22,123,28,72,"Escovopsis fungi are reported as parasites of attine ants symbiosis ( Currie et al., 1999a ; Currie, 2001 ), and here we explore to what extent the susceptibility of the ants’ fungal cultivars and fungus gardens influence host- Escovopsis interactions."
34194409,Host Susceptibility Modulates Escovopsis Pathogenic Potential in the Fungiculture of Higher Attine Ants,10.3389/fmicb.2021.673444,INTRODUCTION,15,45,24,54,"These ants evolved an obligate mutualistic association with basidiomycete fungi cultivated in ant colonies for food ( Mueller et al., 2005 )."
34429165,Fungi inhabiting attine ant colonies: reassessment of the genus Escovopsis and description of Luteomyces and Sympodiorosea gens. nov,10.1186/s43008-021-00078-8,DISCUSSION,7,43,8,22,"Therefore, future studies should unveil the phylogenetic correspondence of Escovopsis with the ants and the mutualistic fungi, and carefully address the mechanisms of the parasitism of this group of fungi."
34429165,Fungi inhabiting attine ant colonies: reassessment of the genus Escovopsis and description of Luteomyces and Sympodiorosea gens. nov,10.1186/s43008-021-00078-8,INTRODUCTION,7,45,6,20,"Unlike systematics studies, the relationship between Escovopsis and the attine ants’ mutualistic fungi has been the topic of numerous studies (Currie et al."
34682284,Quantifying the Role of Ground Beetles for the Dispersal of Fusarium and Alternaria Fungi in Agricultural Landscapes,10.3390/jof7100863,FULL_TEXT,3,279,27,33,[ 5 ] detected pathogens in similar frequencies in a 3–5 mm large Cocktail Ant ( Crematogaster peringueyi ) than in the 20–45 mm large millipede ( Ommatoiulus moreleti ) but this aspect was not further analyzed by the authors.
22722240,Using host molecules to increase fungal virulence for biological control of insects,10.4161/viru.20956,FULL_TEXT,8,38,28,44,bassiana increased fungal virulence approximately 6-fold toward fire ants (decreased LD 50 ) and decreased the mean survival time (LT 50 ) by ~30%.
