pmid,title,doi,section,ant_hits,microbe_hits,interaction_hits,score,snippet
32098813,Horizontal Gene Transfer to a Defensive Symbiont with a Reduced Genome in a Multipartite Beetle Microbiome,10.1128/mBio.02430-19,THE EVOLUTION OF,1,47,17,19,"In addition to the leaf nodule Burkholderia symbionts (see above), horizontal acquisition of genes has been observed in two types of reduced-genome symbionts, namely, eukaryotic parasites in the genus Encephalitozoon ( 111 ) and Acetobacteraceae strains associated with the gut community of red carpenter ants ( 112 )."
32268912,"Multilocus sequence typing of Enterocytozoon bieneusi in crab-eating macaques (Macaca fascicularis) in Hainan, China",10.1186/s13071-020-04046-w,DISCUSSION,1,1,2,4,"However, few studies analyzed the MLGs of this pathogen in NHPs in China. In the present study, 33 MLGs were identified from 53 E. bieneusi -positive samples from macaque monkeys, indicating a high genetic diversity within some common ITS genotypes (Type IV, Macaques3 and Peru8), and supporting high-resolution of the multilocus sequencing tool established by Feng et al. [ 32 ]. A strong and significant intragenic LD was observed in the analysis of the MLST data, indicating an overall clonal population structure of E. bieneusi in this study. In previous studies, the strong and significant intragenic LD obtained was used as an indication for the presence of a clonal population structure of E. bieneusi in the AIDS patients, giant pandas, pigs, fur animals and NHPs [ 36 , 37 , 47 , 49 , 50 ]. Therefore, there was a clonal endemicity of E. bieneusi in the study population. Nevertheless, the MLGs found in crab-eating macaques were not segregated by ITS genotypes, indicating the existence of genetic recombination in the E. bieneusi population studied. In previous investigations, E. bieneusi MLGs were segregated by ITS genotypes for some genotypes with narrower host ranges, such as A, EbpA, SCO2 and Cs-4, but not for zoonotic genotypes such as Type IV, D, WL11 and Peru11 [ 15 , 16 ]. Similarly, in this study, MLGs of E. bieneusi in crab-eating macaques were also not segregated by ITS genotypes, especially for the zoonotic genotypes Type IV and Peru8. Genetic recombination appears to be common in some microsporidia of insects, including Kneallhazia solenopsae in fire ants and Andreanna caspii in mosquitoes."
32268912,"Multilocus sequence typing of Enterocytozoon bieneusi in crab-eating macaques (Macaca fascicularis) in Hainan, China",10.1186/s13071-020-04046-w,BACKGROUND,0,3,2,2,"Enterocytozoon bieneusi is an obligate intracellular pathogen infecting humans, domestic animals and wildlife [ 1 ]."
32286458,"Evaluating the tradeoffs of a generalist parasitoid fungus, Ophiocordyceps unilateralis, on different sympatric ant hosts",10.1038/s41598-020-63400-1,RESULTS,80,59,42,160,3B ) Figure 3 Occurrence of ant infections by Ophiocordyceps unilateralis sensu lato .
32286458,"Evaluating the tradeoffs of a generalist parasitoid fungus, Ophiocordyceps unilateralis, on different sympatric ant hosts",10.1038/s41598-020-63400-1,DISCUSSION,28,23,56,102,"During the fungal infection progress, once the ant mandibles are secured to the leaf vein, atrophy immediately sets in."
32518897,"Epitypification and re-description of the zombie-ant fungus, Ophiocordyceps unilateralis (Ophiocordycipitaceae)",10.3114/fuse.2018.01.02,INTRODUCTION,23,18,7,43,"In addition, it stimulated on-going research on the nature of the ant-fungal association, as well as on fungal phylogeny, that has generated a wealth of information (reviewed in Hughes et al ."
32518897,"Epitypification and re-description of the zombie-ant fungus, Ophiocordyceps unilateralis (Ophiocordycipitaceae)",10.3114/fuse.2018.01.02,RESULTS,13,6,3,15,The explanation for this variability of the fungus within a single ant species may lie in the recently-confirmed classification of C.
32354705,Genetic Underpinnings of Host Manipulation by Ophiocordyceps as Revealed by Comparative Transcriptomics,10.1534/g3.120.401290,DATA AVAILABILITY,252,210,176,596,Ant-infecting Ophiocordyceps genomes are enriched for heat-labile enterotoxins compared to generalist fungal pathogens and have been suggested to play a major role in Ophiocordyceps pathogenesis.
32354705,Genetic Underpinnings of Host Manipulation by Ophiocordyceps as Revealed by Comparative Transcriptomics,10.1534/g3.120.401290,MATERIALS AND METHODS,48,25,25,75,"We painted ants to distinguish treatment groups (POSCA paint pens, Uni) one to three days in advance of infection by fungal injection ( de Bekker et al."
32243090,MitoFinder: Efficient automated large‐scale extraction of mitogenomic data in target enrichment phylogenomics,10.1111/1755-0998.13160,DISCUSSION,13,6,1,13,"Wolbachia infection is frequent among ants and could therefore be responsible of some mitonuclear discordance (Wenseleers et al., 1998 )."
32243090,MitoFinder: Efficient automated large‐scale extraction of mitogenomic data in target enrichment phylogenomics,10.1111/1755-0998.13160,THE VALUE OF COMPLEMENTARY MITOCHONDRIAL SIGNAL,10,6,1,13,"Wolbachia infection is frequent among ants and could therefore be responsible of some mitonuclear discordance (Wenseleers et al., 1998 )."
33194385,Mortality of native and invasive ladybirds co-infected by ectoparasitic and entomopathogenic fungi,10.7717/peerj.10110,DISCUSSION,3,16,37,43,"These authors found that Laboulbenia -infected Lasius neglectus ants (Hymenoptera, Formicidae) showed a decreased susceptibility to M. brunneum . This protection against Metarhizium was positively correlated with parasite load."
33194385,Mortality of native and invasive ladybirds co-infected by ectoparasitic and entomopathogenic fungi,10.7717/peerj.10110,INTRODUCTION,0,14,27,27,"At the same time, dual infections (even if causing an increase in host mortality) may be deleterious to one or both pathogens in terms of pathogen growth, fecundity, or other fitness parameters."
